contest_id,problem_id,total_count,gnu_cpp,ms_cpp,gnu_c,gnu_cpp0x,gnu_cpp11,gnu_c11,gnu_cpp14,gnu_cpp_diagnostics,clangpp_17_diagnostics,gnu_cpp17
1000,e,1135,60,12,1,0,334,1,435,0,0,292
1000,a,5249,654,78,35,0,1116,11,2336,8,2,1009
1000,f,1169,136,2,2,0,274,3,456,0,0,296
1000,d,1721,138,7,2,0,442,1,749,2,0,380
1000,c,3084,339,25,2,0,709,1,1348,0,0,660
1000,g,190,18,0,0,0,74,0,50,0,0,48
155,a,11379,3803,665,813,150,2757,197,2419,10,3,562
1099,d,1807,0,11,0,0,368,3,824,0,0,601
1099,c,3050,0,17,0,0,674,21,1367,0,0,971
1099,b,3797,0,36,0,0,837,42,1690,0,0,1192
1099,e,170,0,1,0,0,36,0,68,0,0,65
1099,a,4716,0,96,0,0,1022,92,2087,0,1,1418
1099,f,291,0,1,0,0,80,1,102,0,0,107
486,a,20667,8031,1613,1536,585,4118,511,3383,24,13,853
948,e,177,44,0,1,0,51,2,62,0,0,17
948,b,1618,276,15,6,0,440,1,774,0,0,106
948,a,4915,890,91,50,0,1279,11,2216,0,0,378
948,c,2351,400,32,4,0,627,0,1129,0,0,159
948,d,1044,130,3,1,0,288,7,535,0,0,80
935,d,1457,151,8,2,0,436,0,775,0,0,85
935,c,3011,372,36,27,0,753,1,1633,4,0,185
935,a,8742,1207,280,253,0,2044,134,4051,25,5,743
935,f,130,40,0,0,0,37,0,47,0,0,6
935,b,6292,846,130,119,0,1506,25,3300,15,0,351
935,e,551,71,3,0,0,160,0,275,0,0,42
581,a,13160,4593,825,792,0,4175,262,1951,9,2,551
61,a,17621,6506,1296,1240,174,3705,402,3463,28,8,799
1093,g,660,0,1,0,0,183,0,283,0,0,193
1093,c,3977,0,31,0,0,1030,33,1664,0,4,1215
1093,d,2348,0,7,0,0,609,3,975,0,0,754
1093,f,226,0,0,0,0,83,0,92,0,0,51
1093,a,5151,0,96,0,0,1289,155,2080,0,4,1527
1093,e,342,0,0,0,0,93,1,157,0,0,91
1093,b,4649,0,60,0,0,1157,64,1944,0,6,1418
785,a,12498,2739,526,347,0,3526,231,4413,2,5,709
